79752	356417	None
79633	356414	None
361007	455408	None
61634	575615	None
476056	576136	None
17223	495650	None
39297	537525	None
130605	578877	None
133210	319767	None
133210	323623	None
133210	387248	None
207414	340586	None
131369	576666	None
135082	295425	None
65863	229505	None
73152	363476	None
78601	352037	None
54562	126967	None
90503	438832	None
128193	352385	None
81398	372128	None
77054	358017	None
86698	354042	None
91868	441815	None
72867	492806	None
82509	360877	None
75795	341343	None
74426	350543	None
74426	496440	None
90503	438832	None
80839	346322	None
88069	362504	None
84735	365788	None
78452	351886	None
89638	361262	None
132436	470246	None
54037	350542	None
131708	344753	None
130962	371663	None
34663	314157	None
88148	362603	None
91296	353469	None
126438	684804	None
510985	560501	None
76611	364906	None
132829	370193	None
126316	344063	None
133630	355456	None
132542	361433	None
119182	127752	None
131267	505743	None
80860	347111	None
131551	333675	None
131551	362114	None
375112	86460	None
367484	88567	None
493810	85074	None
493810	374380	None
56818	374106	None
81465	371349	None
371608	81951	None
74058	350797	None
74058	474039	None
129208	439204	None
81497	372081	None
129440	330345	None
55420	351063	None
55420	441189	None
81840	371865	None
91719	360368	None
84544	365931	None
74475	349832	None
82725	365376	None
74248	441190	None
232393	374458	None
205098	331272	None
205098	461194	None
128402	303087	None
128402	303087	None
126312	344162	None
204294	217187	None
92525	446935	None
326164	333658	None
130769	370687	None
65871	126213	None
124003	326167	None
32024	93470	None
32024	380725	None
